Make,Model,Track Sizes (Base),Track Sizes (Display),Track Sizes (Canonical w/ N/W)
Atlas,AR120,230x72x42,230x72x42,230x72x42
Atlas,CT045,200x72x34;180x72x34,200x72x34;180x72x34,200x72x34;180x72x34
Atlas,CT100,200x72x41,200x72x41,200x72x41
Atlas,CT100R,200x72x41,200x72x41,200x72x41
Atlas,CT10N,230x72x43,230x72x43,230x72x43
Atlas,CT120,230x72x42,230x72x42,230x72x42
Atlas,CT12N,230x72x43,230x72x43,230x72x43
Atlas,CT27N,300x109x36;300x52.5x74,300x109x36;300x52.5x74 (Narrow),300x109x36;300x52.5x74(N)
Atlas,CT30N,300x109x39;300x52.5x80,300x109x39;300x52.5x80 (Narrow),300x109x39;300x52.5x80(N)
Atlas,CT35N,300x109x41;300x52.5x84,300x109x41;300x52.5x84 (Narrow),300x109x41;300x52.5x84(N)
Atlas,CT50N,400x142x38;400x72.5x74,400x142x38;400x72.5x74,400x142x38;400x72.5x74
Atlas,CT7NX,180x72x37,180x72x37,180x72x37
Atlas,ISO7,180x72x37,180x72x37,180x72x37
Ausa,25CM,180x60x30,180x60x30,180x60x30
Ausa,75,200x72x42,200x72x42,200x72x42
Ausa,80CMA,250x72x48,250x72x48,250x72x48
Ausa,MH08,180x72x38,180x72x38,180x72x38
Ausa,MH15,230x48x66;230x96x33,230x48x66;230x96x33,230x48x66;230x96x33
Ausa,MH25,300x52.5x74,300x52.5x74 (Narrow),300x52.5x74(N)
Ausa,MH35,300x52.5x84,300x52.5x84 (Narrow),300x52.5x84(N)
Ausa,MH35R,300x52.5x84,300x52.5x84 (Narrow),300x52.5x84(N)
Ausa,MH55,400x72.5x72,400x72.5x72,400x72.5x72
Ausa,MH75,450x71x86,450x71x86,450x71x86
Avant Tecno,Dumper 1200,230x72x45,230x72x45,230x72x45
Avant Tecno,Dumper 1500,250x72x45,250x72x45,250x72x45
Awasi,75-6,450x71x86,450x71x86,450x71x86
BOART LONGYEAR,DeltaBase 420,450x71x86,450x71x86,450x71x86
